Field=#~Integer~#~50|Field=Comment~String~Comment~166|Field=Description~String~Description~283|Field=Designator~String~Designator~189|Field=LibRef~String~LibRef~56|Field=Quantity~Integer~Quantity~56|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DRA818V Ham module.PrjPcb|ReportField=ProjectFullPath~M:\Altium Projects\DRA818V HAM module\DRA818V Ham module\DRA818V Ham module.PrjPcb|ReportField=Title~Bill of Materials For Project [DRA818V Ham module.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~73|ReportField=ReportTime~12:10:31 AM|ReportField=ReportDate~11/30/2016|ReportField=ReportDateTime~11/30/2016 12:10:31 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~L3, 12a Rodborough Rd|ReportField=Address2~Frenchs Forest|ReportField=Address3~NSW|ReportField=Address4~Australia 2086|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=AuthorName~Salil Tembe|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~11/30/2016|ReportField=CurrentTime~12:07:29 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~M:\Altium Projects\DRA818V HAM module\DRA818V Ham module\DRA818V_transceiver_module.SchDoc|ReportField=DocumentName~DRA818V_transceiver_module.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~11/30/2016|ReportField=Organization~Altium Limited|ReportField=ProjectName~DRA818V Ham module.PrjPcb|ReportField=Reference~https://nebula.wsimg.com/bb20397fc7ffa1e43a58e57264597687?AccessKeyId=DAA432FA80C5DABC0234&disposition=0&alloworigin=1|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~DRA818V Ham module.PrjPcb|ReportField=DataSourceFullPath~M:\Altium Projects\DRA818V HAM module\DRA818V Ham module\DRA818V Ham module.PrjPcb
1|0.1u|Capacitor SMD Cer 100nF 10% 100V X7R 0805|C8, C9|CAPC_100n_0805_X7R_100V_10%|2
2|0.1uF|Capacitor SMD Cer 100nF 10% 100V X7R 0805, Capacitor SMD Cer 100nF 10% 100V X7R 0805, Capacitor SMD Cer 10uF 10% 10V X5R 0805, Capacitor SMD Cer 10uF 10% 10V X5R 0805, Capacitor SMD Cer 10uF 10% 10V X5R 0805, Capacitor SMD Cer 10uF 10% 10V X5R 0805, Capacitor SMD Cer 10uF 10% 10V X5R 0805, Capacitor SMD Cer 10uF 10% 10V X5R 0805, Capacitor SMD Cer 10uF 10% 10V X5R 0805, Capacitor SMD Cer 10uF 10% 10V X5R 0805|C3, C10, C13, C18, C19, C20, C21, C22, C23, C24|CAPC_100n_0805_X7R_100V_10%, CAPC_100n_0805_X7R_100V_10%, CAPC_10u_0805_10V, CAPC_10u_0805_10V, CAPC_10u_0805_10V, CAPC_10u_0805_10V, CAPC_10u_0805_10V, CAPC_10u_0805_10V, CAPC_10u_0805_10V, CAPC_10u_0805_10V|10
3|0.39u|Capacitor SMD Cer 100nF 10% 100V X7R 0805|C7|CAPC_100n_0805_X7R_100V_10%|1
4|1k|Resistor SMD chip 0.0 Ohm 0.125W 0805|R23|RES_0R_0805|1
5|1.5K|Resistor SMD chip 100 Ohm 0.125W 1% 0805|R18|RES_100R_0805_1%|1
6|2.2k|Capacitor SMD Tantalum 33uF 10% 6.3V 3216-18|C5|CAPT_33u_3216_6V3|1
7|2.2K|Resistor SMD chip 0.0 Ohm 0.125W 0805|R24|RES_0R_0805|1
8|2.2u|Capacitor SMD Tantalum 33uF 10% 6.3V 3216-18|C4|CAPT_33u_3216_6V3|1
9|2.2uH|IND 1800uH +/-20% 0.070A 31.5oh LPS4018|L1|370|1
10|4µ7|Capacitor SMD Cer 4.7uF 10% 16V X5R 0805|C11|CAPC_4u7_0805|1
11|4.7k|Resistor SMD chip 0.0 Ohm 0.125W 0805|R11|RES_0R_0805|1
12|4.7u|Capacitor SMD Tantalum 33uF 10% 6.3V 3216-18|C2|CAPT_33u_3216_6V3|1
13|6k|Resistor SMD chip 1.3k Ohm 0.125W 1% 0805|R1|RES_1K3_0805_1%|1
